name,description,url
Givenchy,Rubber slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/59/P00634702.jpg
Givenchy,Winter Mallow leather slippers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f8/P00634703.jpg
Valentino Garavani,VL7N leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/46/P00635956.jpg
Givenchy,Monumental Mallow hybrid shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/22/P00606730.jpg
Balenciaga,Track Hike sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/34/P00583671.jpg
Salomon,X-Alp Ltr leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e7/P00900924.jpg
Givenchy,Monumental Mallow rubber shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7e/P00606726.jpg
Balenciaga,Track sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/5a/P00585102.jpg
Hoka One One,Clifton LS sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/8a/P00898195.jpg
Hoka One One,Clifton L suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/9d/P00898153.jpg
Salomon,ACS Pro Desert trail running shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6d/P00900929.jpg
Salomon,ACS Pro Desert trail running shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/75/P00900859.jpg
On,Cloud 5 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6e/P00904611.jpg
Hoka One One,Mafate Three2 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3b/P00898185.jpg
Hoka One One,Speedgoat 5 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3a/P00898197.jpg
Balenciaga,Track Hike sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/4e/P00569611.jpg
Salomon,Rx Moc 3.0 mesh slip-on sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f8/P00900917.jpg
Hoka One One,Mafate Three2 running shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/30/P00898186.jpg
Balenciaga,Track strapped sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/30/P00569612.jpg
Hoka One One,Clifton 9 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/16/P00898146.jpg
Salomon,RX Marie-Jeanne slip-on shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0f/P00900922.jpg
Hoka One One,Ora Recovery 3 slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/33/P00898175.jpg
Salomon,Rx Slide 3.0 slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7e/P00900918.jpg
Hoka One One,Mafate Speed 2 running shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a1/P00898167.jpg
Norda,001 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e9/P00887912.jpg
Salomon,XT PU.RE Advanced sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/92/P00900820.jpg
Salomon,X-Alp suede-trimmed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e9/P00900926.jpg
Maison Margiela,Replica leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3b/P00944395.jpg
Norda,001 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ac/P00887910.jpg
The North Face,x Undercover Soukuu Vectiv Sky sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d3/P00915273.jpg
New Balance,1906R sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/2a/P00914605.jpg
Norda,003 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f6/P00887922.jpg
Norda,003 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a4/P00887924.jpg
New Balance,WRPD Runner suede-trimmed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/aa/P00914613.jpg
The North Face,x Undercover Soukuu Vectiv Sky sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/01/P00915274.jpg
Norda,002 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/55/P00887919.jpg
New Balance,WRPD Runner leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d1/P00914615.jpg
On,The Roger Centre Court sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/57/P00904630.jpg
New Balance,WRPD Runner suede-trimmed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/63/P00914616.jpg
Hoka One One,Clifton 9 Gore-Tex® TS  sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d9/P00898144.jpg
Hoka One One,Ora rubber mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/87/P00898188.jpg
Salomon,XT-4 OG sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/63/P00900883.jpg
On,Cloudspark running shoes ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0d/P00904606.jpg
Birkenstock 1774,Tokio Cazador suede clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/99/P00894021.jpg
Comme des Garçons Shirt,x Asics Gel-Terrain mesh sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e0/P00900545.jpg
Birkenstock 1774,Tokio Cazador suede clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/57/P00894022.jpg
Birkenstock,Arizona leather sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/8c/P00904784.jpg
Comme des Garçons Shirt,x Asics Gel-Terrain mesh sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a6/P00900547.jpg
Birkenstock 1774,Tokio suede mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/73/P00894020.jpg
Birkenstock 1774,Arizona suede sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/11/P00894015.jpg
Salomon,Odyssey Elmt Advanced sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/99/P00900856.jpg
Salomon,ACS Pro running shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/31/P00900857.jpg
Jil Sander,Leather sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/db/P00883403.jpg
Birkenstock 1774,33 Dougal leather clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/38/P00894024.jpg
Salomon,XT-4 OG sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7c/P00841982.jpg
Birkenstock 1774,33 Dougal leather clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/31/P00894023.jpg
Auralee,Suede Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/5a/P00894979.jpg
